Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
AFMM_1_003	Extraction	methanol with partial internal standards		AFMM_1_003	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_1_003		Data transformation	AFMM_1_003	FILES/DERIVED_FILES/20220622_P244_AFMM_1_003.mzML	Metabolite identification	AFMM_1_003	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_1_006	Extraction	methanol with partial internal standards		AFMM_1_006	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_1_006		Data transformation	AFMM_1_006	FILES/DERIVED_FILES/20220622_P244_AFMM_1_006.mzML	Metabolite identification	AFMM_1_006	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_1_007	Extraction	methanol with partial internal standards		AFMM_1_007	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_1_007		Data transformation	AFMM_1_007	FILES/DERIVED_FILES/20220622_P244_AFMM_1_007.mzML	Metabolite identification	AFMM_1_007	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_1_021	Extraction	methanol with partial internal standards		AFMM_1_021	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_1_021		Data transformation	AFMM_1_021	FILES/DERIVED_FILES/20220622_P244_AFMM_1_021.mzML	Metabolite identification	AFMM_1_021	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_1_027	Extraction	methanol with partial internal standards		AFMM_1_027	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_1_027		Data transformation	AFMM_1_027	FILES/DERIVED_FILES/20220622_P244_AFMM_1_027.mzML	Metabolite identification	AFMM_1_027	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_1_030	Extraction	methanol with partial internal standards		AFMM_1_030	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_1_030		Data transformation	AFMM_1_030	FILES/DERIVED_FILES/20220622_P244_AFMM_1_030.mzML	Metabolite identification	AFMM_1_030	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_1_035	Extraction	methanol with partial internal standards		AFMM_1_035	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_1_035		Data transformation	AFMM_1_035	FILES/DERIVED_FILES/20220622_P244_AFMM_1_035.mzML	Metabolite identification	AFMM_1_035	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_1_039	Extraction	methanol with partial internal standards		AFMM_1_039	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_1_039		Data transformation	AFMM_1_039	FILES/DERIVED_FILES/20220622_P244_AFMM_1_039.mzML	Metabolite identification	AFMM_1_039	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_1_050	Extraction	methanol with partial internal standards		AFMM_1_050	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_1_050		Data transformation	AFMM_1_050	FILES/DERIVED_FILES/20220622_P244_AFMM_1_050.mzML	Metabolite identification	AFMM_1_050	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
AFMM_1_067	Extraction	methanol with partial internal standards		AFMM_1_067	Chromatography	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA				ACQUITY UPLC BEH C18 1.7 _M VanGuard pre-column (2.1¡Á5 mm) and ACQUITY UPLC BEH C18 1.7 _M analytical column (2.1¡Á100 mm)	reverse phase						Mass spectrometry	alternating	50-1050	ACQUITY UPLC-Xevo TQ-S, Waters Corp., Milford, MA, USA									AFMM_1_067		Data transformation	AFMM_1_067	FILES/DERIVED_FILES/20220622_P244_AFMM_1_067.mzML	Metabolite identification	AFMM_1_067	m_MTBLS13136_LC-MS_alternating_reverse-phase_metabolite_profiling_v2_maf.tsv
