metabolite,p_value,log2FC,median_persistent,median_paroxysmal,fdr,neglog10p,sig,cliffs_delta,cohens_d
GCDCA-3S,2.4385792273155733e-05,1.2693475635442089,0.8379,0.3476,0.00281784247468,4.612863129993669,True,0.5138461538461538,0.18008725911568285
Isocitric acid,2.860753781401104e-05,0.3595912818288834,11.4045,8.8885,0.00281784247468,4.54351951932874,True,0.5094505494505495,0.7139264800917208
Malic acid,5.0312335555227913e-05,0.3775504167844288,7.3075,5.6249,0.0028902246134836,4.298325521767784,True,0.4936263736263736,0.6392310899827879
Oxoglutaric acid,5.868476372555709e-05,0.2846281075513596,10.1722,8.3509,0.0028902246134836,4.231474639618278,True,0.48923076923076925,0.6111422518146279
Citramalic acid,0.0006802458603971,0.7327307804231896,0.0796,0.0479,0.0268016868996491,3.1673340924179287,True,0.4136263736263736,0.5166742291887653
N-Acetyaspartic acid,0.0008416253018335,0.3405225609504622,0.6364,0.5026,0.0276333640768696,3.07488121677216,True,0.4065934065934066,0.690500978217048
Adipic acid,0.0011157806597361,0.7995134477230087,0.2616,0.1503,0.0297715224857617,2.952421170657008,True,0.39692307692307693,0.3852072374882185
Glyceric acid,0.0014376748151926,0.161785304099846,1.7807,1.5918,0.0297715224857617,2.842339335050513,True,0.3881318681318681,0.7081195170485027
Kynurenine,0.0014377223446837,0.3954867459284002,2.492,1.8945,0.0297715224857617,2.842324977523845,True,0.3881318681318681,0.6880296187192898
Phenylalanine,0.0015112447962315,0.1646999024578169,80.688,71.9829,0.0297715224857617,2.820665181563303,True,0.3863736263736264,0.5976357082171811
Hydroxyphenyllactic acid,0.0031932315818716,0.3487196270129401,0.9715,0.7629,0.051060510687297,2.4957695840969816,False,0.35912087912087914,0.41308074971159237
Methylmalonic acid,0.0035871493302851,0.3343145538813155,2.705,2.1455,0.051060510687297,2.445250543600339,False,0.3547252747252747,0.3943728887647708
Succinic acid,0.0035871493302851,0.2600318276788467,6.4991,5.4272,0.051060510687297,2.445250543600339,False,0.3547252747252747,0.3802223522050622
Homovanillic acid,0.0036286657341226,0.1723863696168958,0.4839,0.4294,0.051060510687297,2.440253036349515,False,0.35428571428571426,0.4044631003686273
2-Hydroxy-3-methylbutyric acid,0.0043099027150074,0.2878564141670582,8.8251,7.2288,0.0566033889904313,2.3655325328119536,False,0.3476923076923077,0.5287725237132009
Creatine,0.0046133406861209,-0.4528298711275987,24.468,33.4899,0.0568017571978641,2.335984472415569,False,-0.34505494505494505,-0.38207533977002944
N-Acetylserine,0.0051047296223977,0.3225854515982929,2.5788,2.0621,0.058412376267486,2.292027255851385,False,0.3410989010989011,0.623117911667221
Adipoylcarnitine,0.0053371714356078,0.4558693466051911,0.0406,0.0296,0.058412376267486,2.2726888469729314,False,0.3393406593406593,0.4784771999813809
Oxoadipic acid,0.0056428117072649,0.1660577745799137,0.0699,0.0623,0.0585070477016419,2.2485044412876665,False,0.33714285714285713,0.47443695132113894
Linoleylcarnitine,0.0070264822494494,0.3566878361523756,0.3812,0.2977,0.0692108501570771,2.153262046532688,False,0.3283516483516484,0.5000946473262414
