database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	AFMM_1_003	AFMM_1_070	AFMM_3_009	AFMM_3_016	AFMM_1_067	AFMM_3_011	AFMM_3_106	AFMM_3_072	AFMM_3_063	AFMM_3_096	AFMM_FSY_3_34	AFMM_FSY_1_11	AFMM_3_094	AFMM_FSY_1_29	AFMM_1_077	AFMM_1_039	AFMM_3_104	AFMM_1_050	AFMM_FSY_1_17	AFMM_1_007	AFMM_1_074	AFMM_FSY_1_33	AFMM_FSY_1_36	AFMM_3_037	AFMM_FSY_3_13	AFMM_1_098	AFMM_1_006	AFMM_3_089	AFMM_1_078	AFMM_1_100	AFMM_LNK_03	AFMM_1_035	AFMM_3_093	AFMM_1_084	AFMM_3_045	AFMM_FSY_1_26	AFMM_FSY_1_15	AFMM_3_031	AFMM_1_027	AFMM_FSY_1_03	AFMM_3_029	AFMM_FSY_1_28	AFMM_1_079	AFMM_3_066	AFMM_1_030	AFMM_3_065	AFMM_LNK_05	AFMM_3_043	AFMM_3_024	AFMM_1_021	AFMM_3_073	AFMM_1_001	AFMM_LNK_04	AFMM_1_068	AFMM_1_040	AFMM_1_049	AFMM_FSY_1_10	AFMM_FSY_1_35	AFMM_3_023	AFMM_FSY_1_12	AFMM_FSY_1_21	AFMM_1_038	AFMM_1_008	AFMM_3_101	AFMM_1_056	AFMM_FSY_1_20	AFMM_3_025	AFMM_1_002	AFMM_1_085	AFMM_FSY_1_06	AFMM_FSY_1_14	AFMM_FSY_3_38	AFMM_1_102	AFMM_1_028	AFMM_1_032	AFMM_3_013	AFMM_1_044	AFMM_3_095	AFMM_1_052	AFMM_LNK_02	AFMM_1_099	AFMM_1_055	AFMM_FSY_3_41	AFMM_LNK_01	AFMM_3_015	AFMM_3_071	AFMM_1_060	AFMM_3_103	AFMM_3_057	AFMM_3_105	AFMM_FSY_1_23	AFMM_1_041	AFMM_3_018	AFMM_1_012	AFMM_FSY_1_19	AFMM_3_107	AFMM_FSY_3_09	AFMM_3_004	AFMM_FSY_3_08	AFMM_1_026
HMDB0000182				Lysine	-				-												207.2474	192.5797	241.0008	157.1549	286.1349	188.2958	261.7369	275.6341	167.626	189.1782	182.4366	194.5007	222.9373	158.9982	189.0436	263.2098	265.4677	193.8976	177.4884	254.2513	284.1532	223.8273	176.3139	198.7903	191.2124	216.6629	291.5402	177.2589	232.3635	114.0714	204.3321	184.4398	188.4329	183.2565	193.6107	191.2623	121.0621	204.547	164.3744	145.0972	177.7596	217.0737	179.5472	251.3044	234.1315	218.5396	233.2472	194.8111	230.0727	203.4395	166.0983	212.9233	188.1646	142.0451	229.5873	188.7745	131.0151	170.7605	310.5668	238.7846	177.6211	207.7869	372.58	224.4368	219.8918	176.5493	121.491	197.8311	251.9261	190.0658	155.6677	198.8116	165.2467	252.8555	245.3924	270.6493	269.3068	264.036	288.3297	230.7979	179.7332	171.0657	121.6557	243.5565	192.6078	244.558	182.1309	145.086	216.0856	198.6501	220.6448	201.9136	269.1841	188.2768	159.7206	247.1049	221.6407	193.0105	198.3214	186.6753
HMDB0000177				Histidine	-				-												98.7358	86.0731	93.7364	57.9982	91.6983	85.4779	102.0164	106.7993	87.2746	81.6374	106.2896	99.1193	103.4946	79.8694	74.8868	105.8504	124.8653	70.3935	92.5637	80.8732	93.859	102.5531	80.6429	97.3086	77.2787	96.0931	101.3069	96.9037	98.486	51.8252	91.5905	89.4419	80.6512	82.3774	97.2464	90.8941	71.7204	94.6826	89.6749	70.7603	110.7262	96.549	77.8526	110.1635	82.3988	85.4807	69.8011	76.7717	66.7684	110.9778	86.6039	76.2468	64.9698	105.6351	90.2429	101.656	81.0235	70.7852	86.5767	95.6772	81.3764	85.0816	143.8954	102.6149	97.8329	92.4085	62.5239	96.0701	132.0658	80.8801	82.0487	89.2168	98.2202	97.773	109.8892	87.2453	112.698	114.1777	118.4871	89.5497	95.543	81.8527	66.1411	87.6527	85.6196	92.4475	91.9449	117.6933	110.3619	98.7102	102.379	77.7492	106.4634	95.0295	72.0363	110.0997	100.1472	97.8174	81.3428	88.2859
HMDB0000517				Arginine	-				-												61.6691	70.9929	173.382	78.5303	129.1776	105.6493	120.1881	123.4329	75.9576	79.4441	42.6404	56.3122	86.2118	61.7265	76.2756	95.9106	115.4673	77.9522	67.7365	76.447	50.0605	88.4597	73.5284	84.8991	54.2297	46.7235	148.1569	70.7511	64.4128	24.0468	34.1309	80.1688	81.5313	83.7252	75.5427	61.7419	30.584	80.5862	82.2311	76.8777	62.1529	77.7349	90.8546	133.9859	46.3541	56.0311	96.4995	47.3943	63.9444	16.9307	75.6378	93.932	43.8096	57.1838	69.451	87.1718	79.119	61.0787	135.5083	57.3037	47.356	106.011	118.5548	117.2837	101.2324	62.6785	38.6296	125.0979	116.1417	62.6895	47.0645	60.4335	86.8365	77.0766	91.1153	87.2685	129.877	65.9825	106.5152	45.571	106.7284	38.3538	64.7087	44.411	88.8019	53.8746	35.4066	31.6606	68.7804	67.4607	62.2535	63.308	137.1598	81.6915	50.9786	54.7632	88.4701	112.3247	66.4377	78.989
HMDB0000214				Ornithine	-				-												120.4872	117.7192	107.8542	58.0393	114.4935	94.5183	88.4938	113.1331	103.5747	107.7325	128.9481	77.9109	125.3604	76.4156	105.9202	104.5317	61.6576	77.0017	94.9792	93.8924	54.5993	126.675	91.8835	102.4109	34.9646	89.746	122.7048	89.5684	66.0942	35.7185	149.8382	68.9152	55.622	106.6273	85.4061	96.6194	96.0812	171.3118	79.839	193.2606	83.9264	75.678	71.4023	131.5767	85.4172	69.0997	74.1123	57.2809	53.1203	145.9262	129.2813	119.2426	93.1271	63.9417	50.0648	162.4137	93.1704	125.7794	144.417	113.0486	32.5551	83.4974	135.6927	139.0875	137.4396	68.7935	49.493	105.0631	130.2691	100.4274	96.4058	64.8159	215.4759	83.1128	95.9411	91.2274	100.0929	108.7924	141.9465	116.3194	239.1865	79.4418	90.536	122.0916	63.5124	67.6759	90.0644	106.9707	101.6893	114.6732	111.1898	76.7388	136.2429	68.2824	327.4916	131.1504	83.1973	212.6629	196.7496	94.6555
HMDB0000641				Glutamine	-				-												751.095	692.3017	822.8208	529.8092	710.3495	594.7881	774.4809	702.1948	803.2607	702.4338	727.1022	767.7385	799.2454	491.0018	432.3979	922.4684	737.2225	824.2081	729.5674	798.0953	585.9467	775.7962	749.4883	846.4951	474.8083	690.321	701.3378	639.6107	642.5774	497.1138	1018.6953	622.7716	506.0446	615.4452	697.2609	768.7194	535.6811	744.403	792.782	706.1691	715.904	682.2814	809.6422	841.2674	597.0118	608.3024	889.7742	768.2672	617.0629	615.4221	954.392	575.0097	564.0175	709.1308	750.1989	839.5272	889.1396	806.5684	655.6801	733.5688	557.2921	633.7082	1116.842	682.3226	798.8398	697.691	554.0851	666.5539	899.6726	720.6471	686.7848	586.1621	753.3295	853.7464	766.1947	679.8313	795.112	680.6539	765.8975	710.1739	915.9289	590.6703	676.1507	600.0715	726.7137	654.962	808.1103	660.7018	717.8946	754.909	1008.7188	827.829	795.2506	748.9878	626.8414	835.781	699.6417	885.0641	738.9265	828.9708
HMDB0000148				Glutamic acid	-				-												16.1526	14.6463	17.8417	11.0501	15.7924	34.8618	17.6139	21.0151	25.2666	21.5599	46.5579	23.6473	21.2556	19.9045	21.7704	21.8659	18.3347	24.6491	12.134	31.9069	19.2107	22.3177	25.3459	22.2411	5.5468	24.3019	36.0092	15.2432	29.9818	16.6944	27.0743	22.5489	20.8728	21.1039	11.6343	19.8262	17.9918	28.2437	20.6223	34.3985	33.0879	16.479	21.9874	27.5437	23.4925	28.8179	13.9505	18.0171	15.9868	26.7053	14.0905	18.6145	23.4915	18.3646	24.3066	20.5784	16.9679	30.3788	37.2036	22.5606	7.7482	19.6421	21.9394	21.8377	22.2859	25.8816	21.9614	13.2563	24.8895	20.8117	19.2999	24.4465	16.371	27.925	13.5665	21.6649	26.0361	24.1949	28.6179	28.0487	22.4642	26.3616	16.7455	23.5936	19.4111	26.5614	16.019	30.307	11.0504	34.1529	28.5952	12.3142	23.4593	12.8856	30.5798	20.484	31.4295	16.2131	40.1135	14.0027
HMDB0000271				Sarcosine	-				-												6.2808	7.3176	8.0379	3.3667	7.3966	6.8518	8.5857	7.2944	6.6068	6.7646	10.5674	7.2849	6.8559	6.996	5.7407	5.4469	7.8225	7.6172	7.4764	8.1878	11.8817	7.0702	9.5428	6.7117	4.7142	6.5653	6.3586	6.6351	9.1782	4.7483	7.9501	6.823	7.373	8.0821	6.7285	6.0358	7.801	5.2774	5.3135	8.3754	5.5209	6.7154	7.5643	6.9423	3.8621	8.6162	7.5553	7.2529	5.9262	6.7685	6.3167	4.793	5.4957	6.8026	4.6309	6.7587	6.4461	7.2424	6.9108	5.1935	9.5774	5.9166	9.1805	5.7647	10.0594	7.0136	3.4912	6.2802	7.357	8.5302	6.2625	6.4539	5.6281	7.833	5.5562	8.5779	8.6459	7.8035	9.4961	6.5468	6.8759	4.8114	4.9487	4.417	3.9443	9.5037	6.4932	4.0403	6.027	6.6623	9.2465	4.9709	8.858	3.9041	4.9447	9.9372	8.5182	5.7156	10.188	6.9319
HMDB0000056				beta-Alanine	-				-												12.3023	21.2165	18.6388	15.0396	24.0223	26.4651	22.996	19.4334	17.8738	24.3081	15.4945	7.9005	11.7219	21.1353	18.6564	23.8202	22.4012	25.2984	22.0917	19.8538	17.5316	28.6273	18.2258	19.397	20.3708	16.92	26.0643	19.6637	20.6391	26.5152	13.868	15.5831	11.6887	22.7992	12.3544	19.6242	15.2732	24.6502	16.0497	6.3262	24.1254	24.455	17.7225	24.5019	23.5412	23.5246	27.8504	24.4657	18.156	11.098	28.0932	28.1462	20.5522	18.8331	0.20923	2.1116	15.7224	16.5795	31.7722	19.358	19.7625	30.6526	17.0803	14.8941	24.1783	12.5201	11.0755	5.6052	13.423	9.1927	16.3123	10.4976	39.8236	40.3124	6.5466	15.7753	14.4583	15.1493	23.102	13.4856	8.492	2.0923	18.85	18.2023	19.3002	22.9238	16.3074	18.366	0.20923	4.1076	18.6526	0.20923	0.20923	3.0096	19.4519	15.4431	20.5787	17.6148	18.2962	0.20923
HMDB0000161				Alanine	-				-												435.0535	441.1213	453.4188	207.0701	486.9014	327.0686	359.6259	394.963	277.6543	367.0813	351.6229	356.2577	340.1089	535.618	364.2455	581.0725	296.1578	314.6814	386.1652	469.3874	711.2519	497.8648	543.5716	330.7082	199.9946	418.2183	392.7197	361.7563	460.4756	345.8313	461.338	299.1646	394.1207	387.1349	364.6143	384.0831	290.1977	438.8042	349.5029	420.468	399.9545	410.5781	370.7876	539.0424	500.5324	463.2067	118.1302	567.6877	348.9426	440.7648	410.4603	331.5692	338.6832	247.1286	402.6999	410.2245	347.402	401.8108	364.5778	408.5245	401.2603	300.4425	741.0425	485.1763	521.5873	318.6353	225.807	345.6368	508.3908	371.7514	252.5356	512.8878	400.252	552.0121	557.9422	519.2641	546.222	530.8525	656.3472	594.6351	594.6479	270.8461	255.5602	311.0767	383.0984	553.3095	370.1986	289.6721	434.6979	368.259	596.2399	296.5301	538.9903	434.2028	422.1282	403.9477	474.0698	332.0688	369.7345	492.4609
HMDB0000092				Dimethylglycine	-				-												6.0044	4.9076	11.2528	2.9967	4.5837	6.2615	11.4288	7.1032	6.4309	7.8287	8.7014	4.3154	7.0899	4.2888	3.6432	5.0583	7.4357	5.2703	3.6459	5.463	14.6058	5.5243	13.1489	9.0841	2.2587	10.1192	4.7358	5.0614	6.1231	3.875	4.9979	8.0779	2.848	10.6944	5.8738	6.3043	8.6466	6.3882	13.5256	5.9934	6.6843	5.3121	6.834	5.7142	3.2448	5.9122	7.1801	7.7235	3.5528	4.3582	6.7695	5.7657	6.128	3.0237	5.7901	6.3278	5.9349	7.0428	8.2587	4.0665	11.384	5.9545	6.4205	7.1102	3.8384	4.0493	3.1649	6.59	13.5523	6.9995	8.0169	4.6324	4.1144	7.3991	4.8893	4.755	7.2077	5.1704	8.8661	4.7519	7.911	5.5134	7.4237	2.9097	2.815	8.6464	5.7524	11.506	4.1742	5.4061	6.3587	2.7268	7.087	3.3081	4.8723	30.0822	15.8634	5.4188	11.0821	6.7084
