metabolite,importance,fdr_significant
Isocitric acid,0.037562910239204286,True
GCDCA-3S,0.03661570124878874,True
Oxoglutaric acid,0.02688477091511818,True
Malic acid,0.02238769097991213,True
Adipic acid,0.02005250364923502,True
Glyceric acid,0.018538297911976618,True
Citramalic acid,0.016560088681240592,True
N-Acetyaspartic acid,0.015630467370519284,True
Creatine,0.01404813039553086,False
Azelaic acid,0.013789803384943936,False
Kynurenine,0.01291427975512793,True
Phenylalanine,0.012173874726130789,True
Linoleylcarnitine,0.01097188746082882,False
Succinic acid,0.01078823110277298,False
Homovanillic acid,0.01073062762749954,False
1-Methylhistidine,0.010643884525001245,False
Methylmalonic acid,0.010422821049647488,False
Methylcysteine,0.01000310849384962,False
Alanine,0.009602673258997335,False
2-Hydroxyglutaric acid,0.009446053652355207,False
NorCA,0.009415020654499276,False
Methylmalonylcarnitine,0.009219644511519897,False
Suberic acid,0.008768445243235848,False
CDCA,0.00855144680801335,False
Methylglutaric acid,0.00844197074953718,False
Glycolic acid,0.007811758986420546,False
GUDCA,0.007706610840158662,False
Phenyllactic acid,0.007657376614950314,False
Malonylcarnitine,0.007511119276358005,False
2-Hydroxy-3-methylbutyric acid,0.007383051540162258,False
p-Hydroxyphenylacetic acid,0.00730053674051728,False
2-Butenoic acid,0.007170671440649207,False
Octanoylcarnitine,0.007109866199804137,False
Phenylacetylglutamine,0.0068749932004685994,False
Hydroxyphenyllactic acid,0.006835592931448254,False
Oxoadipic acid,0.0068107829556963125,False
Oleylcarnitine,0.00673313581592202,False
GCDCA,0.0064765410306639026,False
Adipoylcarnitine,0.006374787643413685,False
Fumaric acid,0.0062998862509160945,False
Glycylproline,0.0062892346365637595,False
Maltose/Lactose,0.00626346409414472,False
Acetylglycine,0.005976548156757997,False
Imidazolepropionic acid,0.005767565791708412,False
Sebacic acid,0.005712445339198641,False
Pimelic acid,0.005552080392222421,False
Glucaric acid,0.005483738767719034,False
Pyruvic acid,0.005442645510746135,False
Isovalerylcarnitine,0.0051616761066205896,False
Glutarylcarnitine,0.005106838441035426,False
Tyrosine,0.005106579662256241,False
Glutaconic acid,0.005091620546070183,False
Maleic acid,0.005017332213836238,False
3-(3-Hydroxyphenyl)-3-hydroxypropanoic acid,0.004973541614352995,False
CA,0.004973423474979213,False
DHA,0.004923087006668096,False
GDCA-3S,0.0048907519460392535,False
GCA,0.004884473707779334,False
Mandelic acid,0.004855795150717598,False
Lactic acid,0.0048014845814130505,False
2-Hydroxycaproic acid,0.004662372716332109,False
Palmitelaidic acid,0.004620717753483097,False
3-Hydroxylisovalerylcarnitine,0.004605212164193652,False
Decanoic acid,0.004535945166235555,False
Valine,0.004515839617659842,False
Ricinoleic acid,0.004504091039589614,False
Arginine,0.004480353319603602,False
Glutaric acid,0.004470957399215896,False
Isovaleric acid,0.004433054520461381,False
Citrulline,0.004368564236096783,False
Glycine,0.004349278314305665,False
Dodecanoylcarnitine,0.004336292759114127,False
Decanoylcarnitine,0.004321351436970543,False
Asparagine,0.004265873698470178,False
Methionine,0.004251208189801838,False
AMP,0.004201437582718837,False
Aconitic acid,0.004132460677206483,False
Benzoic acid,0.004117676339859483,False
Erythronic acid,0.0041057626892618635,False
Tryptophan,0.00409611095110173,False
Glutamine,0.004078466244026093,False
Caproic acid,0.004020269064704625,False
2-Hydroxybutyric acid,0.00401137109934516,False
N-Acetylserine,0.004004323150283856,False
5Z-Dodecenoic acid,0.003982552712696553,False
Butyric acid,0.003975213262353317,False
Ribulose,0.003975167694438091,False
Leucine,0.003926304837698566,False
Lysine,0.003862987422836263,False
Gluconolactone,0.0038326799581452826,False
Hydroxypropionic acid,0.0038214679500039018,False
Dihomo-gamma-linolenic acid,0.0037913896975198848,False
TCA,0.0037894809036069484,False
2-Methy-4-pentenoic acid,0.0037705159745368036,False
Sarcosine,0.003748911129205981,False
Isobutyric acid,0.0037198859782240764,False
Hexanylcarnitine,0.0037119772903512335,False
Pyroglutamic acid,0.0036046732917797714,False
Homocitrulline,0.0035907123534126943,False
bUDCA,0.0035793404329118347,False
Dimethylglycine,0.003571778374943937,False
Nicotinic acid,0.0035590306840045526,False
N-Acetylneuraminic acid,0.003533061416498791,False
